,state,city,coordinates,name,business_status,opening_hours,price_level,rating,types,vicinity,ubereats,Cuisine Type
0,Victoria (VIC),Melbourne,"-37.8136, 144.9631",La Camera Southgate,OPERATIONAL,{'open_now': True},2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","MR2/3 Southgate Avenue, Southbank",TRUE,Italian
1,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Oriental Teahouse Lt Collins,OPERATIONAL,{'open_now': True},2,4.3,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']","378 Little Collins Street, Melbourne",FALSE,N/A
2,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Stamford Plaza Melbourne,CLOSED_TEMPORARILY,N/A,N/A,4.1,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","111 Little Collins Street, Melbourne",FALSE,N/A
3,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Ginza Teppanyaki,OPERATIONAL,{'open_now': True},3,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","139 Little Bourke Street, Melbourne",FALSE,N/A
4,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Japanese Teppanyaki Inn,OPERATIONAL,{'open_now': True},3,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","182 Collins Street, Melbourne",FALSE,N/A
5,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Flower Drum Restaurant Melbourne,OPERATIONAL,{'open_now': True},3,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","17 Market Lane, Melbourne",FALSE,N/A
6,Victoria (VIC),Melbourne,"-37.8136, 144.9631",The Mill Restaurant,OPERATIONAL,{'open_now': True},2,2.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","71 Hardware Lane, Melbourne",FALSE,N/A
7,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Sopranos on Southbank,OPERATIONAL,{'open_now': True},2,3.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","89/91 City Road, Southbank",FALSE,N/A
8,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Tsindos,OPERATIONAL,{'open_now': True},2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","197 Lonsdale Street, Melbourne",FALSE,N/A
9,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Desi Dhaba,OPERATIONAL,{'open_now': True},2,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","134 Flinders Street, Melbourne",FALSE,N/A
10,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Degani.,OPERATIONAL,{'open_now': False},2,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1/38 Siddeley Street, Docklands",FALSE,N/A
11,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Ants Bistro,OPERATIONAL,{'open_now': True},2,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']","7 Corrs Lane, Melbourne",FALSE,N/A
12,Victoria (VIC),Melbourne,"-37.8136, 144.9631",Carlton Curry House - Traditional Indian Restaurant,OPERATIONAL,{'open_now': True},1,3.4,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","108 Lygon Street, Carlton",FALSE,N/A
13,New South Wales (NSW),Sydney,"-33.8688, 151.2093",QT Sydney,OPERATIONAL,{'open_now': True},N/A,4.6,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","49 Market Street, Sydney",FALSE,N/A
14,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Sir Stamford at Circular Quay,OPERATIONAL,{'open_now': True},N/A,4.4,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","93 Macquarie Street, Sydney",FALSE,N/A
15,New South Wales (NSW),Sydney,"-33.8688, 151.2093",The Little Snail Restaurant,OPERATIONAL,{'open_now': True},2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","3/50 Murray Street, Pyrmont",FALSE,N/A
16,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Nick's Seafood Restaurant,OPERATIONAL,{'open_now': True},3,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","Cockle Bay Wharf, T.102, Wheat Road, Sydney",FALSE,N/A
17,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Steersons Steakhouse,OPERATIONAL,{'open_now': True},3,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","17 Lime Street, Sydney",FALSE,N/A
18,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Infinity at Sydney Tower,OPERATIONAL,{'open_now': True},3,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']","Level 4 Westfield Sydney, 108 Market Street, Sydney",FALSE,N/A
19,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Sydney Harbour Bed & Breakfast,OPERATIONAL,N/A,N/A,4,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","140-142 Cumberland Street, The Rocks",FALSE,N/A
20,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Pancakes On The Rocks,OPERATIONAL,{'open_now': True},2,4,"['restaurant', 'food', 'point_of_interest', 'establishment']","22 Playfair Street, The Rocks",FALSE,N/A
21,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Base Backpackers,OPERATIONAL,N/A,N/A,3.8,"['lodging', 'travel_agency', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","477 Kent Street, Sydney",FALSE,N/A
22,New South Wales (NSW),Sydney,"-33.8688, 151.2093",Thanon Khaosan,OPERATIONAL,{'open_now': True},2,4,"['restaurant', 'food', 'point_of_interest', 'establishment']","413 Pitt Street, Haymarket",FALSE,N/A
23,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",QT Canberra,OPERATIONAL,{'open_now': True},2,4.2,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 London Circuit, Canberra",FALSE,N/A
24,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",Adina Serviced Apartments Canberra James Court (Formerly Medina),OPERATIONAL,{'open_now': True},N/A,3.8,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","74 Northbourne Avenue, Canberra",FALSE,N/A
25,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",Courgette Restaurant,OPERATIONAL,{'open_now': True},3,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","54 Marcus Clarke Street, Canberra",FALSE,N/A
26,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",Iori Japanese Restaurant,OPERATIONAL,{'open_now': True},3,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","41 East Row, Canberra",FALSE,N/A
27,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",Wokitup! Braddon,OPERATIONAL,{'open_now': True},N/A,3.6,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","135/22 Lonsdale Street, Braddon",FALSE,N/A
28,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",65 Northbourne Restaurant & Benchmark Wine Bar,OPERATIONAL,{'open_now': True},2,3.8,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","corner of, 65 Northbourne Ave, Rudd Street, Canberra",FALSE,N/A
29,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",King O'Malley's,OPERATIONAL,{'open_now': True},2,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","131 City Walk, Canberra",FALSE,N/A
30,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",Charcoal Restaurant,OPERATIONAL,{'open_now': True},3,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']","61 London Circuit, Canberra",FALSE,N/A
31,Australian Capital Territory (ACT),Canberra,"-35.2809, 149.1300",Parlour,OPERATIONAL,{'open_now': True},3,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","16 Kendall Lane, Acton",FALSE,N/A
